product_id,product_name,category,subcategory,cost_price
1,Table,Home,Table,3091.92
2,Cream,Beauty,Cream,1271.93
3,Jeans,Clothing,Jeans,4740.94
4,T-Shirt,Clothing,T-Shirt,3912.81
5,Tennis Racket,Sports,Tennis Racket,4102.77
6,Bat,Sports,Bat,355.68
7,Jacket,Clothing,Jacket,602.69
8,Football,Sports,Football,3839.27
9,Lamp,Home,Lamp,822.01
10,Shirt,Clothing,Shirt,1187.99
11,Jacket,Clothing,Jacket,2132.99
12,Jacket,Clothing,Jacket,4973.17
13,Table,Home,Table,4211.96
14,Lipstick,Beauty,Lipstick,774.24
15,Lamp,Home,Lamp,780.08
16,Cream,Beauty,Cream,125.73
17,Laptop,Electronics,Laptop,4191.32
18,Tennis Racket,Sports,Tennis Racket,1511.7
19,Chair,Home,Chair,3230.86
20,Tennis Racket,Sports,Tennis Racket,4199.77
21,Shirt,Clothing,Shirt,2917.73
22,Perfume,Beauty,Perfume,107.67
23,Table,Home,Table,1017.84
24,Face Wash,Beauty,Face Wash,1866.96
25,Football,Sports,Football,2403.66
26,Cream,Beauty,Cream,1342.89
27,Headphones,Electronics,Headphones,1789.53
28,Face Wash,Beauty,Face Wash,3702.42
29,Table,Home,Table,1758.88
30,Perfume,Beauty,Perfume,3454.94
31,Cream,Beauty,Cream,4076.34
32,Monitor,Electronics,Monitor,314.65
33,Novel,Books,Novel,1619.37
34,T-Shirt,Clothing,T-Shirt,3791.13
35,Magazine,Books,Magazine,3926.12
36,Lipstick,Beauty,Lipstick,4016.78
37,T-Shirt,Clothing,T-Shirt,4483.72
38,Jacket,Clothing,Jacket,2531.4
39,Jacket,Clothing,Jacket,2644.45
40,Monitor,Electronics,Monitor,3052.02
41,Magazine,Books,Magazine,492.34
42,Lipstick,Beauty,Lipstick,3052.85
43,Jeans,Clothing,Jeans,1822.58
44,Headphones,Electronics,Headphones,2231.21
45,Face Wash,Beauty,Face Wash,3223.81
46,Table,Home,Table,799.62
47,Tennis Racket,Sports,Tennis Racket,1256.38
48,Lipstick,Beauty,Lipstick,4752.39
49,Mobile,Electronics,Mobile,4749.24
50,Lamp,Home,Lamp,2912.22
51,Cricket Ball,Sports,Cricket Ball,3282.85
52,Novel,Books,Novel,2545.32
53,Shirt,Clothing,Shirt,1375.42
54,Jeans,Clothing,Jeans,1499.33
55,Jeans,Clothing,Jeans,4278.85
56,Jeans,Clothing,Jeans,2281.04
57,Headphones,Electronics,Headphones,3576.75
58,Cricket Ball,Sports,Cricket Ball,4271.67
59,Perfume,Beauty,Perfume,2592.9
60,Mobile,Electronics,Mobile,1260.01
61,Shirt,Clothing,Shirt,2904.16
62,Jeans,Clothing,Jeans,522.46
63,Lamp,Home,Lamp,3622.46
64,Tennis Racket,Sports,Tennis Racket,4134.36
65,Mobile,Electronics,Mobile,3247.46
66,T-Shirt,Clothing,T-Shirt,1788.12
67,Bat,Sports,Bat,732.26
68,Football,Sports,Football,2638.7
69,Table,Home,Table,4680.22
70,Magazine,Books,Magazine,2642.6
71,Chair,Home,Chair,3211.78
72,Cricket Ball,Sports,Cricket Ball,1583.84
73,Football,Sports,Football,926.32
74,Bat,Sports,Bat,3159.95
75,Cricket Ball,Sports,Cricket Ball,2861.73
76,Laptop,Electronics,Laptop,3878.01
77,Table,Home,Table,2141.28
78,Face Wash,Beauty,Face Wash,3173.1
79,Sofa,Home,Sofa,4042.97
80,Cream,Beauty,Cream,457.57
81,Mobile,Electronics,Mobile,2472.83
82,Magazine,Books,Magazine,1631.65
83,Lipstick,Beauty,Lipstick,4317.81
84,Jeans,Clothing,Jeans,2623.4
85,Headphones,Electronics,Headphones,700.36
86,Jeans,Clothing,Jeans,347.97
87,T-Shirt,Clothing,T-Shirt,4340.01
88,Magazine,Books,Magazine,3633.53
89,Dictionary,Books,Dictionary,2622.15
90,Jacket,Clothing,Jacket,541.24
91,T-Shirt,Clothing,T-Shirt,1154.21
92,Chair,Home,Chair,2524.98
93,Cream,Beauty,Cream,140.07
94,Monitor,Electronics,Monitor,1395.92
95,Lamp,Home,Lamp,2062.85
96,Bat,Sports,Bat,1514.15
97,T-Shirt,Clothing,T-Shirt,1470.63
98,Football,Sports,Football,573.74
99,Sofa,Home,Sofa,1891.47
100,Dictionary,Books,Dictionary,2066.8
101,Laptop,Electronics,Laptop,1731.9
102,T-Shirt,Clothing,T-Shirt,4476.35
103,Magazine,Books,Magazine,1660.8
104,Jacket,Clothing,Jacket,2585.84
105,Tennis Racket,Sports,Tennis Racket,1568.97
106,Headphones,Electronics,Headphones,637.06
107,Jacket,Clothing,Jacket,3654.09
108,Face Wash,Beauty,Face Wash,1401.1
109,Perfume,Beauty,Perfume,2959.26
110,Notebook,Books,Notebook,3435.56
111,Laptop,Electronics,Laptop,2261.09
112,Jeans,Clothing,Jeans,1099.07
113,Tennis Racket,Sports,Tennis Racket,3705.6
114,Mobile,Electronics,Mobile,2848.35
115,Cream,Beauty,Cream,1637.39
116,Notebook,Books,Notebook,1777.4
117,Sofa,Home,Sofa,1042.09
118,Magazine,Books,Magazine,1201.85
119,Sofa,Home,Sofa,3482.18
120,Jacket,Clothing,Jacket,2846.39
121,Lipstick,Beauty,Lipstick,2910.04
122,Tennis Racket,Sports,Tennis Racket,2033.21
123,Table,Home,Table,1509.39
124,Face Wash,Beauty,Face Wash,2267.64
125,Lamp,Home,Lamp,4156.96
126,Sofa,Home,Sofa,3116.82
127,Bat,Sports,Bat,3382.19
128,Bat,Sports,Bat,357.21
129,Jacket,Clothing,Jacket,592.67
130,Novel,Books,Novel,4891.76
131,Notebook,Books,Notebook,4415.17
132,T-Shirt,Clothing,T-Shirt,3803.96
133,Sofa,Home,Sofa,389.9
134,Mobile,Electronics,Mobile,3643.28
135,Mobile,Electronics,Mobile,4204.26
136,Monitor,Electronics,Monitor,1012.93
137,Lipstick,Beauty,Lipstick,145.41
138,Football,Sports,Football,1741.71
139,T-Shirt,Clothing,T-Shirt,757.58
140,Tennis Racket,Sports,Tennis Racket,4063.19
141,Table,Home,Table,3276.6
142,Perfume,Beauty,Perfume,3974.76
143,Bat,Sports,Bat,4295.12
144,T-Shirt,Clothing,T-Shirt,525.02
145,Face Wash,Beauty,Face Wash,789.0
146,Table,Home,Table,1254.05
147,Sofa,Home,Sofa,3642.12
148,Headphones,Electronics,Headphones,3494.57
149,Laptop,Electronics,Laptop,882.61
150,Lipstick,Beauty,Lipstick,3229.69
151,Sofa,Home,Sofa,1173.73
152,Notebook,Books,Notebook,3763.9
153,Cricket Ball,Sports,Cricket Ball,2791.25
154,Jeans,Clothing,Jeans,3433.68
155,Football,Sports,Football,2688.05
156,Chair,Home,Chair,649.82
157,Bat,Sports,Bat,834.28
158,Lamp,Home,Lamp,1106.47
159,Tennis Racket,Sports,Tennis Racket,2600.84
160,Monitor,Electronics,Monitor,2135.58
161,Football,Sports,Football,3396.56
162,Chair,Home,Chair,4100.62
163,Perfume,Beauty,Perfume,321.92
164,Chair,Home,Chair,395.25
165,Monitor,Electronics,Monitor,981.91
166,Notebook,Books,Notebook,4467.53
167,T-Shirt,Clothing,T-Shirt,3445.38
168,Perfume,Beauty,Perfume,1804.07
169,Notebook,Books,Notebook,3666.5
170,Novel,Books,Novel,4894.6
171,T-Shirt,Clothing,T-Shirt,4134.47
172,Notebook,Books,Notebook,1450.68
173,Face Wash,Beauty,Face Wash,2154.28
174,Mobile,Electronics,Mobile,594.39
175,Monitor,Electronics,Monitor,3546.1
176,Mobile,Electronics,Mobile,2071.1
177,Dictionary,Books,Dictionary,3902.71
178,Magazine,Books,Magazine,4590.35
179,Cricket Ball,Sports,Cricket Ball,3885.44
180,Table,Home,Table,801.98
181,Perfume,Beauty,Perfume,1448.25
182,Bat,Sports,Bat,2193.28
183,Shirt,Clothing,Shirt,4713.77
184,Cream,Beauty,Cream,1661.8
185,T-Shirt,Clothing,T-Shirt,1944.65
186,Tennis Racket,Sports,Tennis Racket,1204.19
187,Perfume,Beauty,Perfume,4582.23
188,Tennis Racket,Sports,Tennis Racket,2830.71
189,Notebook,Books,Notebook,1096.35
190,Face Wash,Beauty,Face Wash,4250.95
191,Mobile,Electronics,Mobile,1948.12
192,Football,Sports,Football,1022.0
193,Bat,Sports,Bat,4360.42
194,Sofa,Home,Sofa,175.14
195,Novel,Books,Novel,3796.22
196,Dictionary,Books,Dictionary,1272.72
197,Sofa,Home,Sofa,2714.89
198,Sofa,Home,Sofa,2612.8
199,T-Shirt,Clothing,T-Shirt,4908.46
200,Jacket,Clothing,Jacket,1916.45
201,Shirt,Clothing,Shirt,1184.24
202,Novel,Books,Novel,4680.32
203,Tennis Racket,Sports,Tennis Racket,1061.34
204,Notebook,Books,Notebook,1304.08
205,Cricket Ball,Sports,Cricket Ball,4125.8
206,Cream,Beauty,Cream,3690.58
207,Table,Home,Table,2778.08
208,Novel,Books,Novel,4211.44
209,Laptop,Electronics,Laptop,2120.72
210,Perfume,Beauty,Perfume,840.05
211,Notebook,Books,Notebook,3127.39
212,Cream,Beauty,Cream,177.09
213,Tennis Racket,Sports,Tennis Racket,3638.74
214,Cricket Ball,Sports,Cricket Ball,3402.76
215,Novel,Books,Novel,2669.49
216,Dictionary,Books,Dictionary,1336.85
217,Sofa,Home,Sofa,487.19
218,T-Shirt,Clothing,T-Shirt,4952.14
219,Magazine,Books,Magazine,4254.55
220,Face Wash,Beauty,Face Wash,1958.39
221,Tennis Racket,Sports,Tennis Racket,146.31
222,Novel,Books,Novel,2226.16
223,Chair,Home,Chair,4603.85
224,Dictionary,Books,Dictionary,3492.21
225,Tennis Racket,Sports,Tennis Racket,4628.38
226,Lipstick,Beauty,Lipstick,2861.2
227,Mobile,Electronics,Mobile,1640.97
228,Dictionary,Books,Dictionary,3592.29
229,Shirt,Clothing,Shirt,2863.4
230,Tennis Racket,Sports,Tennis Racket,2748.76
231,Jeans,Clothing,Jeans,3477.62
232,Headphones,Electronics,Headphones,2241.73
233,Headphones,Electronics,Headphones,3107.94
234,Tennis Racket,Sports,Tennis Racket,1699.25
235,Lipstick,Beauty,Lipstick,2307.7
236,Magazine,Books,Magazine,1939.59
237,Notebook,Books,Notebook,3131.22
238,Novel,Books,Novel,855.68
239,Perfume,Beauty,Perfume,1651.72
240,Laptop,Electronics,Laptop,2279.21
241,Chair,Home,Chair,1018.22
242,T-Shirt,Clothing,T-Shirt,539.13
243,Football,Sports,Football,3943.75
244,Shirt,Clothing,Shirt,2000.22
245,Mobile,Electronics,Mobile,930.96
246,Jeans,Clothing,Jeans,1575.54
247,Jeans,Clothing,Jeans,2229.91
248,Jacket,Clothing,Jacket,476.91
249,Table,Home,Table,2529.43
250,Bat,Sports,Bat,763.9
251,Monitor,Electronics,Monitor,3138.94
252,Lamp,Home,Lamp,4095.83
253,Perfume,Beauty,Perfume,3055.74
254,Perfume,Beauty,Perfume,970.42
255,Jacket,Clothing,Jacket,3505.29
256,Jeans,Clothing,Jeans,1473.47
257,Jacket,Clothing,Jacket,2862.87
258,Bat,Sports,Bat,2795.49
259,Cream,Beauty,Cream,1127.28
260,Chair,Home,Chair,3998.72
261,T-Shirt,Clothing,T-Shirt,1583.88
262,Table,Home,Table,3966.48
263,Monitor,Electronics,Monitor,2448.25
