order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,306,373,5,5108.54,37
2,150,320,1,843.58,32
3,130,144,3,310.78,7
4,379,229,3,2237.77,44
5,271,176,1,4845.24,9
6,212,122,4,1504.81,36
7,329,420,1,3819.32,30
8,386,120,4,3242.55,16
9,7,409,4,2662.37,33
10,470,182,4,5286.11,17
11,51,300,4,5467.27,15
12,100,347,2,282.51,0
13,504,351,4,5856.96,16
14,48,305,2,5177.05,45
15,310,337,5,1641.2,7
16,240,39,4,2355.79,27
17,395,83,1,686.62,24
18,490,92,4,7839.49,12
19,252,277,4,5218.04,28
20,38,373,3,346.37,31
21,478,200,3,2772.68,25
22,482,245,4,5876.59,50
23,197,419,4,4375.37,22
24,29,491,1,6856.07,21
25,393,104,2,7746.6,42
26,459,353,3,7104.67,28
27,99,304,2,691.34,34
28,495,231,0,637.22,50
29,109,342,5,5489.01,34
30,474,377,2,348.69,39
31,67,324,1,6601.77,6
32,303,419,1,4840.82,39
33,219,428,4,7811.66,36
34,494,392,1,2816.93,7
35,87,284,2,7420.27,2
36,324,399,-2,829.64,0
37,334,146,4,6379.48,30
38,328,231,4,1561.48,44
39,256,46,3,235.65,15
40,49,442,5,3820.88,40
41,100,77,4,1446.12,2
42,108,172,5,6115.58,2
43,276,403,1,1105.31,15
44,167,383,3,1059.04,14
45,446,457,2,4763.72,3
46,476,92,4,3770.37,12
47,104,17,5,1264.71,29
48,176,152,5,6397.61,39
49,284,45,4,4015.86,13
50,143,220,2,3587.14,14
51,77,460,1,544.95,30
52,218,246,1,2075.99,35
53,209,68,3,5251.59,143
54,361,293,-2,3817.33,8
55,405,321,4,210.64,40
56,171,152,4,5644.83,39
57,404,318,3,627.53,43
58,197,317,1,1567.09,35
59,397,172,2,5262.5,47
60,492,386,2,7203.88,32
61,33,232,4,6670.57,30
62,273,232,5,5451.79,44
63,34,453,4,3247.32,11
64,56,58,2,7024.95,33
65,214,278,2,3477.01,47
66,33,411,2,4253.04,21
67,331,249,5,4335.3,35
68,68,157,2,1968.9,23
69,25,146,4,5025.32,10
70,499,363,2,1111.96,20
71,190,288,1,7828.58,9
72,84,63,1,4095.45,9
73,80,518,5,5702.52,30
74,387,294,2,5882.64,28
75,246,72,5,393.41,39
76,48,312,2,1932.72,49
77,276,347,1,3276.5,31
78,484,342,3,5784.52,27
79,146,158,4,883.27,46
80,213,148,2,7768.81,27
81,428,45,2,3901.98,33
82,492,193,-3,7332.4,26
83,291,71,2,3177.8,35
84,155,156,4,3814.92,1
85,154,428,4,5394.13,18
86,353,15,1,4045.79,4
87,247,445,3,3913.12,44
